date,approve,disapprove,not_sure,source,methodology
2023-08-01,0.73,0.18,0.09,Liaison Strategies,IVR
2023-09-01,0.73,0.18,0.09,Liaison Strategies,IVR
2023-10-01,0.73,0.18,0.09,Liaison Strategies,IVR
2023-11-01,0.72,0.18,0.10,Liaison Strategies,IVR
2023-12-01,0.55,0.33,0.12,Liaison Strategies,IVR
2024-01-01,0.52,0.40,0.08,Liaison Strategies,IVR
2024-02-01,0.52,0.40,0.08,Liaison Strategies,IVR
2024-03-01,0.52,0.40,0.08,Liaison Strategies,IVR
2024-04-01,0.59,0.31,0.10,Liaison Strategies,IVR
2024-05-01,0.57,0.35,0.08,Liaison Strategies,IVR
2024-06-01,0.55,0.37,0.08,Liaison Strategies,IVR
2024-07-01,0.55,0.37,0.08,Liaison Strategies,IVR
2024-08-01,0.60,0.33,0.07,Liaison Strategies,IVR
2024-09-01,0.52,0.40,0.08,Liaison Strategies,IVR
2024-10-01,0.54,0.38,0.08,Liaison Strategies,IVR
2024-11-01,0.52,0.40,0.08,Liaison Strategies,IVR
2024-12-01,0.54,0.38,0.08,Liaison Strategies,IVR
2025-01-01,0.52,0.42,0.06,Liaison Strategies,IVR
2025-02-01,0.51,0.41,0.08,Liaison Strategies,IVR
2025-03-01,0.54,0.38,0.08,Liaison Strategies,IVR
2025-04-01,0.51,0.42,0.07,Liaison Strategies,IVR
2025-05-01,0.54,0.39,0.07,Liaison Strategies,IVR
2025-06-01,0.53,0.40,0.07,Liaison Strategies,IVR
2025-07-01,0.51,0.42,0.07,Liaison Strategies,IVR
2025-08-01,0.54,0.39,0.07,Liaison Strategies,IVR
2025-09-01,0.55,0.38,0.07,Liaison Strategies,IVR
2025-10-01,0.55,0.38,0.07,Liaison Strategies,IVR
2025-11-01,0.53,0.40,0.07,Liaison Strategies,IVR
2025-12-01,0.54,0.38,0.08,Liaison Strategies,IVR
2026-01-01,0.55,0.38,0.07,Liaison Strategies,IVR
