ward,first_name,last_name,status,date_nomination
1,Alaa,Adib,Active,2026-05-01
1,Saima,Babar,Active,2026-05-01
2,Jennifer,Alexander,Active,2026-05-01
4,Nadia,Guerrera,Active,2026-05-01
4,Diana Chan,McNally,Active,2026-05-01
4,Adam,Pham,Active,2026-05-01
4,Vanessa,Raponi,Active,2026-05-01
5,Daniel,Di Giorgio,Active,2026-05-01
5,Chiara,Padovani,Active,2026-05-01
7,Amanda,Coombs,Active,2026-05-01
8,Mike,Colle,Active,2026-05-01
8,Daniel,Trayes,Active,2026-05-01
10,Paul,Nash,Active,2026-05-01
11,Gabriel,Blanc,Active,2026-05-01
11,Keenan,Courtis,Active,2026-05-01
11,Terri,Hawkes,Active,2026-05-01
13,Walied,Khogali Ali,Active,2026-05-01
13,Curran,Stikuts,Active,2026-05-01
13,Nicki,Ward,Active,2026-05-01
17,Sabrina,Zuniga,Active,2026-05-01
18,Natik,Yusifov,Active,2026-05-01
19,James,Dann,Active,2026-05-01
19,Tycen,Legg,Active,2026-05-01
19,Adam,Smith,Active,2026-05-01
20,Ariel-Rachel,Karokis,Active,2026-05-01
20,Philip,Mills,Active,2026-05-01
21,Krissan,Veerasingam,Active,2026-05-01
22,Dan,Lovell,Active,2026-05-01
23,Kevin,Li,Active,2026-05-01
25,Shawn,Allen,Active,2026-05-01
