first_name,last_name,status,date_nomination
Bahira,Abdulsalam,Active,2026-05-14
Jamie,Atkinson,Active,2026-07-07
Brad,Bradford,Active,2026-05-01
Darrell,Brown,Active,2026-05-28
Braeden,Chow,Active,2026-05-21
Olivia,Chow,Active,2026-05-25
Cory,Deville,Active,2026-05-01
Laura,Ellis,Active,2026-05-01
Renato,Fallico,Active,2026-06-10
Martin,Fraser,Active,2026-06-23
Edward,Gong,Active,2026-05-06
Faizan,Haider,Active,2026-05-20
Thomas,Hall,Active,2026-07-22
Peter,Handjis,Active,2026-05-01
Heather,He,Active,2026-05-01
Mohamad,Kaaki,Active,2026-07-13
Georgios,Kalkounis,Active,2026-06-22
Isidoros,Kyrlangitses,Active,2026-05-01
Michael,Lamoureux,Active,2026-05-13
Rick,Lee,Active,2026-07-15
Eddie,Mayanja,Active,2026-07-02
Sarah,McVie,Active,2026-05-01
Joseph,Osuji,Active,2026-07-17
Odessa Paloma,Parker,Active,2026-05-29
Amy,Rosen,Active,2026-07-14
Lyall,Sanders,Active,2026-05-01
Naomi,Sayers,Active,2026-05-28
Robert,Shusterman,Active,2026-05-15
Kannan,S'ree Jr,Active,2026-05-28
Weizhen,Tang,Active,2026-05-05
Jeffery,Tunney,Active,2026-06-29
Jack,Weenen,Active,2026-07-21
