year,ward,eligible_electors
2018,1,72637
2018,2,89856
2018,3,98426
2018,4,83919
2018,5,75271
2018,6,66759
2018,7,66624
2018,8,79611
2018,9,80563
2018,10,87872
2018,11,82108
2018,12,83163
2018,13,74460
2018,14,80212
2018,15,69380
2018,16,61537
2018,17,68397
2018,18,69445
2018,19,78046
2018,20,73582
2018,21,70092
2018,22,67550
2018,23,62773
2018,24,63860
2018,25,74228
2022,1,70797
2022,2,89491
2022,3,102797
2022,4,83800
2022,5,76907
2022,6,68296
2022,7,66162
2022,8,79418
2022,9,81355
2022,10,95433
2022,11,80347
2022,12,83877
2022,13,80096
2022,14,79533
2022,15,69118
2022,16,61583
2022,17,70517
2022,18,69996
2022,19,77782
2022,20,74104
2022,21,71240
2022,22,67123
2022,23,61338
2022,24,64080
2022,25,73560
2023,1,71599
2023,2,91745
2023,3,106335
2023,4,86457
2023,5,78321
2023,6,69983
2023,7,66972
2023,8,81608
2023,9,83706
2023,10,100319
2023,11,83871
2023,12,87018
2023,13,84155
2023,14,81837
2023,15,70626
2023,16,62566
2023,17,72324
2023,18,71500
2023,19,79791
2023,20,75240
2023,21,72175
2023,22,67878
2023,23,61863
2023,24,64855
2023,25,74498
