ward,candidate,lean,reliability
1,bailao,-0.0020186324795494204,high
1,bradford,-0.0005945520871794858,low
1,chow,-0.0927521617611507,high
1,furey,0.008309250299714854,moderate
1,matlow,-0.031526775276462624,low
1,tory,0.034913983397599324,high
2,bailao,0.12220880759714248,high
2,bradford,-0.0015641861014746624,low
2,chow,-0.15949852273930523,high
2,furey,0.033228024078680606,moderate
2,matlow,-0.021060333786320634,low
2,tory,0.11336273910279887,high
3,bailao,0.07762508428768494,high
3,bradford,-0.0006346495820924482,low
3,chow,-0.0772488521770413,high
3,furey,0.021473173160066632,moderate
3,matlow,-0.016213470283409345,low
3,tory,0.0457526968647588,high
4,bailao,-0.06462305237668153,high
4,bradford,-0.0036819261757145456,low
4,chow,0.12785832768821276,high
4,furey,-0.006267685258557525,moderate
4,matlow,0.0033998114588953132,low
4,tory,-0.1275594237214536,high
5,bailao,0.06812168627645804,high
5,bradford,-0.0031797215420989924,low
5,chow,-0.0760570455422529,high
5,furey,-0.00306521457042324,moderate
5,matlow,-0.024433008477417445,low
5,tory,0.019177975227512023,high
6,bailao,0.0899853573293164,high
6,bradford,-0.0017587538206952948,low
6,chow,-0.1319410984767716,high
6,furey,0.012477637273351029,moderate
6,matlow,-0.009226765172483373,low
6,tory,0.09347108800196685,high
7,bailao,-0.04297760218172253,high
7,bradford,-0.00505214088699777,low
7,chow,-0.09029494342534539,high
7,furey,-0.007936682539486192,moderate
7,matlow,-0.034091848440851745,low
7,tory,0.026964450602665002,high
8,bailao,0.14342578262809064,high
8,bradford,-0.0025234825367982244,low
8,chow,-0.13419364521674854,high
8,furey,0.003523351404528134,moderate
8,matlow,0.02835848301647631,low
8,tory,0.10110865502434069,high
9,bailao,-0.0231530772076482,high
9,bradford,-0.008064975874470678,low
9,chow,0.12603094209833637,high
9,furey,-0.022213402527724985,moderate
9,matlow,-0.008726924254848632,low
9,tory,-0.21568030888186904,high
10,bailao,-0.0800823486222032,high
10,bradford,0.002035253016547776,low
10,chow,0.12540693702304495,high
10,furey,-0.012272962358476164,moderate
10,matlow,-0.007204209706696822,low
10,tory,-0.1393065587628209,high
11,bailao,-0.031816383060899456,high
11,bradford,-0.0032888456072695006,low
11,chow,0.09680490263167896,high
11,furey,-0.015320393627949916,moderate
11,matlow,0.015357276930879987,low
11,tory,-0.13340963618373114,high
12,bailao,-0.02154501856323149,high
12,bradford,-0.004725482126122992,low
12,chow,-0.03628274935278375,high
12,furey,-0.00934034414848664,moderate
12,matlow,0.1436427346272797,low
12,tory,-0.02156170923835271,high
13,bailao,-0.11757890856021286,high
13,bradford,-0.0009540987998671972,low
13,chow,0.17424253372790888,high
13,furey,-0.01928293027207978,moderate
13,matlow,0.0015524426611937953,low
13,tory,-0.14077208339035988,high
14,bailao,-0.08098834860581428,high
14,bradford,0.0018745031293733502,low
14,chow,0.1472098153422945,high
14,furey,-0.015979099740924867,moderate
14,matlow,0.0032294560384471746,low
14,tory,-0.10701503472312673,high
15,bailao,0.1064327824054303,high
15,bradford,-0.001784708431138947,low
15,chow,-0.11030990263999901,high
15,furey,-0.0010604633910667322,moderate
15,matlow,0.03283431186828291,low
15,tory,0.11283912389230627,high
16,bailao,0.011236036003407113,high
16,bradford,0.0026680501513152415,low
16,chow,-0.03663892555662118,high
16,furey,0.011484996114285467,moderate
16,matlow,-0.006371422379195517,low
16,tory,0.08673142654452548,high
17,bailao,0.023563740267624478,high
17,bradford,-0.0017522312958544086,low
17,chow,-0.033475941725362224,high
17,furey,0.009263938263133417,moderate
17,matlow,-0.01740672952956062,low
17,tory,0.0748426024730417,high
18,bailao,0.022019934205629477,high
18,bradford,-0.0005794936982765151,low
18,chow,-0.023112042914608943,high
18,furey,0.01002725113366277,moderate
18,matlow,-0.008732856140728093,low
18,tory,0.06803904492597718,high
19,bailao,-0.04224923940188946,high
19,bradford,0.033867640664500556,low
19,chow,0.05891860087746137,high
19,furey,0.0011848240585821332,moderate
19,matlow,-0.002072231427975642,low
19,tory,-0.02880005599369828,high
20,bailao,-0.01840357910608781,high
20,bradford,0.005149222367005438,low
20,chow,-0.014733411045019296,high
20,furey,0.015628584142809203,moderate
20,matlow,-0.02026038067839337,low
20,tory,0.03509684355717546,high
21,bailao,-0.018310057605081087,high
21,bradford,0.00010837205066415757,low
21,chow,-0.026128062228122473,high
21,furey,0.0051404650648507605,moderate
21,matlow,-0.02723425839548751,low
21,tory,0.05322160817207555,high
22,bailao,-0.03410228554988931,high
22,bradford,-0.004711325584567279,low
22,chow,0.027482904324486024,high
22,furey,-0.004928804482138553,moderate
22,matlow,-0.022753847142488785,low
22,tory,0.04208689445364894,high
23,bailao,-0.08814895213851168,high
23,bradford,-0.00644140045692304,low
23,chow,0.09978579090437861,high
23,furey,-0.02163975432028025,moderate
23,matlow,-0.03358300928676705,low
23,tory,0.024870808011173806,high
24,bailao,-0.04080744350006171,high
24,bradford,-0.002503671080443772,low
24,chow,-0.06666128122164788,high
24,furey,0.00931632836864292,moderate
24,matlow,-0.03305035278373425,low
24,tory,0.07931860154980452,high
25,bailao,0.0007101360393163003,high
25,bradford,-0.0024750098226586775,low
25,chow,-0.04801424013434419,high
25,furey,0.002211995321912248,moderate
25,matlow,-0.029244949843633572,low
25,tory,0.09297795294095906,high
