ward,pop_growth_pct
1,-0.01568979522038391
2,0.009866011804747749
3,0.09719662811213488
4,-0.016252524778054393
5,0.004733779206114827
6,0.03464726291441789
7,0.03225806451612903
8,0.016826071555083245
9,-0.024814935518413333
10,0.18444648558806806
11,0.01855352168722642
12,0.08724032780636554
13,0.17411386685410182
14,-0.007970017553014849
15,-0.007515473032714412
16,0.012558364192561584
17,0.03241483655036449
18,-0.0022998296422487223
19,0.0005533013648100332
20,0.016668205743835995
21,0.010095522658336728
22,-0.00518085004317375
23,-0.036727794283372604
24,0.016269409553951144
25,0.0003943023313125339
