ward,councillor_name,election_year,is_byelection_incumbent,is_running,vote_share,electorate_share,defeatability_score,notes,last_updated
1,Vincent Crisanti,2022,false,true,0.4107,0.0963,58,New Voter Margin: +2531,2026-03-10
2,Stephen Holyday,2022,false,true,0.7228,0.2074,14,New Voter Margin: -8628,2026-03-10
3,Amber Morley,2022,false,true,0.4644,0.1486,50,New Voter Margin: +7048,2026-03-10
4,Gord Perks,2022,false,true,0.3548,0.1330,54,New Voter Margin: +2653,2026-03-10
5,Frances Nunziata,2022,false,true,0.4761,0.1310,53,New Voter Margin: +5709,2026-03-10
6,James Pasternak,2022,false,true,0.7353,0.1784,22,New Voter Margin: -1660,2026-03-10
7,Anthony Perruzza,2022,false,true,0.6130,0.1316,38,New Voter Margin: +1086,2026-03-10
8,Mike Colle,2022,false,true,0.7031,0.2154,16,New Voter Margin: -6091,2026-03-10
9,Alejandra Bravo,2022,false,true,0.7072,0.2091,14,New Voter Margin: -10548,2026-03-10
10,Ausma Malik,2022,false,true,0.3655,0.0842,70,New Voter Margin: +10428,2026-03-10
11,Dianne Saxe,2022,false,true,0.3537,0.1072,68,New Voter Margin: +8746,2026-03-10
12,Josh Matlow,2022,false,true,0.8465,0.2703,3,New Voter Margin: -12863,2026-03-10
13,Chris Moise,2022,false,true,0.4848,0.1306,54,New Voter Margin: +6007,2026-03-10
14,Paula Fletcher,2022,false,true,0.7402,0.2553,7,New Voter Margin: -12031,2026-03-10
15,Rachel Chernos Lin,2024,true,true,0.5476,0.1721,27,New Voter Margin: -4480; Elected in by-election,2026-03-10
16,Jon Burnside,2022,false,true,0.4468,0.1323,51,New Voter Margin: +2822,2026-03-10
17,Shelley Carroll,2022,false,true,0.7179,0.1829,25,New Voter Margin: -82,2026-03-10
18,Lily Cheng,2022,false,true,0.4172,0.1191,64,New Voter Margin: +12457,2026-03-10
19,Brad Bradford,2022,false,false,0.5471,0.1950,26,Bradford running for Mayor; Ward is Open,2026-03-10
20,Parthi Kandavel,2023,true,true,0.2734,0.0588,66,New Voter Margin: +2187; Elected in by-election,2026-03-10
21,Michael Thompson,2022,false,true,0.5525,0.1400,34,New Voter Margin: +548,2026-03-10
22,Nick Mantas,2022,false,true,0.4889,0.1226,47,New Voter Margin: +1331,2026-03-10
23,Jamaal Myers,2022,false,true,0.5109,0.0867,55,New Voter Margin: +2944,2026-03-10
24,Paul Ainslie,2022,false,true,0.7652,0.1948,16,New Voter Margin: -4043,2026-03-10
25,Neethan Shan,2023,true,true,0.2683,0.0663,61,New Voter Margin: -977; Elected in by-election,2026-03-10
